session_id,cashier_id,terminal_id,member_id,session_type,duration_min,order_transfer,usage,discount,total
11296,4,9,,Standard,104,4.31,16.47,0.0,20.78
11297,5,7,,Standard,134,7.11,18.4,0.0,25.51
11298,3,5,,Standard,145,6.11,8.96,0.0,15.07
11299,5,4,,Standard,44,1.78,4.61,0.25,6.14
11300,5,15,,Standard,103,7.17,14.62,1.03,20.76
11301,1,15,,Time Limited,76,5.62,9.04,0.0,14.66
11302,3,11,,Standard,68,4.35,5.44,0.88,8.91
11303,3,15,,Administrator,14,4.02,1.84,0.0,5.86
11304,5,2,65.0,Member,77,7.36,4.96,0.0,12.32
11305,4,10,4.0,Member,156,3.5,20.17,0.0,23.67
11306,4,5,,Time Limited,37,5.15,4.72,0.49,9.38
11307,4,4,18.0,Member,142,5.53,11.81,0.0,17.34
11308,1,8,,Standard,71,3.37,6.19,0.0,9.56
11309,1,5,21.0,Member,129,7.11,20.59,0.0,27.7
11310,1,12,61.0,Member,45,5.02,7.06,1.71,10.37
11311,2,7,4.0,Member,111,3.02,15.85,0.0,18.87
11312,3,3,51.0,Member,117,5.79,18.6,0.0,24.39
11313,2,1,66.0,Member,93,0.73,12.64,0.0,13.37
11314,1,14,31.0,Member,178,2.86,22.48,0.69,24.65
11315,4,10,45.0,Member,109,6.06,16.99,0.0,23.05
11316,1,15,,Administrator,29,2.39,2.96,0.0,5.35
11317,3,10,,Time Limited,82,1.58,8.28,0.83,9.03
11318,5,5,,Time Limited,82,3.75,10.46,1.35,12.86
11319,4,8,,Standard,86,4.84,5.74,0.0,10.58
11320,3,5,,Standard,30,0.5,2.38,0.0,2.88
11321,3,15,32.0,Member,71,7.22,6.67,0.0,13.89
11322,5,11,,Administrator,29,6.4,1.92,0.0,8.32
11323,4,2,,Standard,136,3.37,16.2,0.0,19.57
11324,1,2,,Standard,107,3.32,17.11,0.0,20.43
11325,1,6,10.0,Member,128,1.06,19.33,0.0,20.39
11326,3,9,,Time Limited,59,5.05,8.3,0.0,13.35
11327,3,14,,Time Limited,61,2.48,8.06,0.0,10.54
11328,5,10,,Standard,92,6.88,6.13,0.0,13.01
11329,3,15,37.0,Member,154,5.85,17.77,1.41,22.21
11330,1,13,,Standard,143,6.65,22.83,1.52,27.96
11331,3,14,59.0,Member,162,3.87,21.24,0.0,25.11
11332,4,6,,Standard,48,7.51,7.03,0.0,14.54
11333,4,3,,Standard,60,2.44,5.24,0.0,7.68
11334,4,12,,Standard,114,1.55,13.86,0.0,15.41
11335,3,3,62.0,Member,88,7.79,5.4,2.42,10.77
11336,3,10,,Standard,87,0.35,9.5,1.55,8.3
11337,2,5,10.0,Member,72,3.78,10.86,0.0,14.64
11338,1,2,,Standard,56,6.06,5.25,0.92,10.39
11339,3,12,,Free,29,6.66,3.16,0.0,9.82
11340,3,1,,Standard,87,3.94,12.62,0.0,16.56
11341,2,15,22.0,Member,131,1.53,13.63,0.0,15.16
11342,3,8,1.0,Member,120,6.59,16.92,0.0,23.51
11343,3,12,,Time Limited,81,1.41,6.52,0.0,7.93
11344,1,14,,Standard,81,0.64,12.73,0.0,13.37
11345,1,9,,Standard,112,5.52,7.46,0.0,12.98
11346,4,12,7.0,Member,137,1.31,11.29,0.0,12.6
11347,1,2,,Standard,93,3.22,10.41,0.0,13.63
11348,4,12,4.0,Member,53,2.92,8.15,0.0,11.07
11349,4,6,,Time Limited,64,2.31,7.33,0.0,9.64
11350,4,7,19.0,Member,81,4.72,10.07,0.0,14.79
11351,5,6,52.0,Member,74,3.88,10.13,1.69,12.32
11352,3,5,,Time Limited,58,1.84,5.39,0.28,6.95
11353,5,2,,Standard,53,3.43,8.42,0.0,11.85
11354,5,4,,Standard,126,3.9,9.2,0.0,13.1
11355,1,8,,Standard,124,6.35,18.7,0.0,25.05
11356,1,12,,Standard,59,1.25,8.78,0.0,10.03
11357,3,7,,Free,49,1.48,7.43,2.03,6.88
11358,5,10,8.0,Member,139,5.72,13.95,0.0,19.67
11359,1,7,57.0,Member,62,4.95,4.57,0.0,9.52
11360,5,15,,Standard,102,2.44,13.26,0.0,15.7
11361,5,8,,Time Limited,82,3.51,10.59,0.0,14.1
11362,1,10,,Free,53,3.77,8.32,0.0,12.09
11363,5,16,25.0,Member,149,6.46,13.22,2.3,17.38
11364,5,2,,Standard,55,6.93,4.91,0.0,11.84
11365,2,14,,Standard,103,1.0,6.71,0.0,7.71
11366,4,9,2.0,Member,174,3.98,17.66,0.0,21.64
11367,2,16,,Standard,137,5.21,20.54,1.63,24.12
11368,2,6,29.0,Member,86,6.35,9.15,0.0,15.5
11369,3,10,11.0,Member,70,3.93,5.79,2.37,7.35
11370,3,16,,Administrator,25,4.92,2.83,0.0,7.75
11371,5,3,,Standard,31,7.88,2.86,1.4,9.34
11372,1,5,,Standard,141,4.65,11.85,0.0,16.5
11373,3,7,,Standard,78,5.36,11.08,0.0,16.44
11374,1,5,,Administrator,26,3.78,3.94,0.0,7.72
11375,2,2,,Standard,59,7.25,3.98,0.0,11.23
11376,1,11,,Standard,128,4.82,9.23,0.0,14.05
11377,5,4,,Time Limited,55,3.27,4.56,0.0,7.83
11378,2,8,,Standard,42,6.5,4.26,1.16,9.6
11379,4,16,2.0,Member,141,0.58,20.67,2.46,18.79
11380,1,15,24.0,Member,104,7.86,7.62,0.0,15.48
11381,1,1,44.0,Member,157,7.1,17.87,0.0,24.97
11382,1,9,57.0,Member,94,5.63,11.61,0.0,17.24
11383,4,5,,Standard,36,7.71,3.04,0.0,10.75
11384,4,3,,Standard,76,4.15,5.4,0.0,9.55
11385,4,13,,Standard,35,0.4,2.98,0.71,2.67
11386,5,8,,Standard,58,7.94,7.16,0.0,15.1
11387,1,15,,Standard,109,6.36,10.87,0.0,17.23
11388,2,3,5.0,Member,165,0.31,17.44,0.0,17.75
11389,1,8,,Standard,37,6.74,4.4,0.0,11.14
11390,1,6,,Standard,69,3.61,4.76,1.13,7.24
11391,2,1,,Standard,123,6.4,17.02,0.0,23.42
11392,2,12,,Standard,147,5.28,20.41,0.0,25.69
11393,4,9,31.0,Member,136,0.38,8.94,0.0,9.32
11394,2,14,,Standard,44,6.16,4.39,0.0,10.55
11395,1,13,,Standard,103,4.18,8.44,0.3,12.32
11396,4,14,,Administrator,45,0.44,6.37,0.0,6.81
11397,2,2,7.0,Member,153,4.5,13.44,0.0,17.94
11398,1,6,,Free,39,7.87,4.7,0.05,12.52
11399,2,12,6.0,Member,105,3.62,7.49,0.0,11.11
11400,5,14,,Administrator,15,0.56,1.49,0.0,2.05
11401,5,16,4.0,Member,158,5.61,13.55,0.0,19.16
11402,5,1,9.0,Member,107,6.24,12.74,0.0,18.98
11403,4,14,,Standard,105,7.51,7.6,0.0,15.11
11404,2,10,,Standard,142,7.75,12.01,0.0,19.76
11405,4,12,,Standard,39,0.62,4.12,0.0,4.74
11406,1,5,63.0,Member,70,1.74,8.75,0.0,10.49
11407,4,12,9.0,Member,90,5.46,13.06,1.1,17.42
11408,5,4,,Free,59,5.81,7.16,0.0,12.97
11409,2,3,16.0,Member,136,1.49,18.12,0.0,19.61
11410,1,16,,Time Limited,74,7.06,6.67,0.05,13.68
11411,4,8,,Standard,145,1.79,21.69,2.37,21.11
11412,4,12,,Administrator,45,7.42,5.07,0.0,12.49
11413,2,13,,Standard,51,2.26,5.9,0.0,8.16
11414,3,7,,Standard,53,2.07,8.29,0.0,10.36
11415,5,9,,Standard,34,0.32,2.47,0.0,2.79
11416,3,12,,Time Limited,47,3.97,3.13,0.0,7.1
11417,5,10,,Standard,99,0.21,10.6,0.94,9.87
11418,3,11,,Standard,148,2.12,9.26,0.0,11.38
11419,5,6,20.0,Member,148,1.54,14.41,2.37,13.58
11420,4,4,,Standard,51,1.19,3.16,1.05,3.3
11421,4,15,4.0,Member,150,5.32,11.05,0.0,16.37
11422,2,14,,Standard,105,7.25,12.08,0.0,19.33
11423,4,15,,Standard,80,2.2,11.07,0.94,12.33
11424,2,3,,Standard,54,1.71,4.33,0.0,6.04
11425,2,2,,Standard,146,7.77,15.25,0.0,23.02
11426,2,14,28.0,Member,120,2.13,13.45,0.66,14.92
11427,4,13,,Standard,77,1.58,9.12,0.0,10.7
11428,2,10,,Administrator,29,4.91,2.97,1.61,6.27
11429,1,2,43.0,Member,102,6.53,7.12,0.0,13.65
11430,1,8,,Standard,80,4.31,12.05,0.0,16.36
11431,3,3,,Standard,42,4.34,4.26,0.0,8.6
11432,5,10,,Standard,31,7.67,4.34,1.74,10.27
11433,1,11,49.0,Member,143,5.47,9.79,0.0,15.26
11434,5,15,33.0,Member,86,0.22,8.82,0.98,8.06
11435,2,1,,Standard,110,2.6,8.93,0.0,11.53
11436,4,10,34.0,Member,143,6.36,17.53,0.0,23.89
11437,2,12,22.0,Member,145,1.89,12.56,0.0,14.45
11438,4,13,25.0,Member,108,3.66,7.99,0.0,11.65
11439,3,1,4.0,Member,163,1.48,9.84,2.33,8.99
11440,3,14,,Free,34,0.4,2.41,0.13,2.68
11441,4,16,9.0,Member,171,5.62,21.18,0.0,26.8
11442,4,8,,Standard,44,6.05,5.55,0.0,11.6
11443,4,9,,Standard,106,3.48,13.08,0.0,16.56
11444,4,6,6.0,Member,80,2.0,8.28,0.0,10.28
11445,2,10,,Standard,145,0.97,17.22,0.0,18.19
11446,4,16,7.0,Member,130,5.81,9.48,0.0,15.29
11447,4,10,,Administrator,45,3.75,4.66,0.0,8.41
11448,1,12,,Standard,69,1.62,10.89,0.0,12.51
11449,4,9,17.0,Member,133,5.56,14.99,0.27,20.28
11450,5,8,,Standard,96,6.27,8.71,0.0,14.98
11451,3,4,,Standard,144,2.18,10.94,0.0,13.12
11452,3,9,33.0,Member,102,2.96,8.94,0.0,11.9
11453,3,12,,Standard,98,2.09,13.95,0.0,16.04
11454,4,2,8.0,Member,130,1.65,18.61,0.0,20.26
11455,1,12,,Administrator,14,0.56,1.54,0.0,2.1
11456,5,3,,Time Limited,78,0.37,11.83,1.09,11.11
11457,5,4,,Standard,148,5.27,12.01,0.0,17.28
11458,2,16,,Time Limited,71,4.27,10.74,2.26,12.75
11459,5,7,18.0,Member,141,1.71,10.33,0.0,12.04
11460,3,15,,Standard,53,1.53,4.15,0.0,5.68
11461,4,7,39.0,Member,80,5.63,8.95,2.22,12.36
11462,2,4,,Free,21,7.16,2.35,0.0,9.51
11463,3,7,1.0,Member,137,7.03,19.41,0.0,26.44
11464,2,7,,Free,37,3.04,4.27,0.35,6.96
11465,3,7,48.0,Member,110,0.94,11.16,0.0,12.1
11466,5,5,24.0,Member,61,0.76,8.98,0.0,9.74
11467,4,15,,Administrator,35,0.66,3.18,0.71,3.13
11468,1,1,,Standard,88,5.72,6.97,0.0,12.69
11469,2,14,,Standard,53,7.9,3.55,1.04,10.41
11470,2,7,27.0,Member,178,7.34,14.19,0.0,21.53
11471,5,1,,Standard,34,4.29,4.62,0.0,8.91
11472,1,5,,Standard,98,2.94,8.17,2.37,8.74
11473,5,11,,Standard,118,7.69,7.99,0.0,15.68
11474,3,9,15.0,Member,93,1.8,8.63,1.21,9.22
11475,1,6,,Standard,85,0.94,11.48,0.0,12.42
11476,5,2,40.0,Member,88,1.39,7.56,0.0,8.95
11477,1,14,32.0,Member,170,6.54,16.8,0.0,23.34
11478,2,12,8.0,Member,76,2.31,7.71,0.0,10.02
11479,2,7,,Administrator,23,1.38,3.28,1.25,3.41
11480,3,11,,Standard,86,6.39,13.49,1.1,18.78
11481,4,8,,Standard,65,6.06,10.12,0.0,16.18
11482,5,13,,Standard,84,6.99,7.52,0.0,14.51
11483,2,15,,Time Limited,46,1.89,4.93,1.1,5.72
11484,2,6,,Administrator,43,4.89,5.26,0.0,10.15
11485,1,8,,Standard,145,5.92,21.73,0.0,27.65
11486,3,5,,Standard,96,7.9,12.99,0.0,20.89
11487,2,9,,Standard,90,1.41,5.61,0.0,7.02
11488,1,8,,Standard,87,2.01,11.98,0.0,13.99
11489,2,3,,Standard,86,6.69,10.95,0.0,17.64
11490,1,5,60.0,Member,144,6.6,10.38,0.0,16.98
11491,1,16,,Standard,94,0.84,6.46,1.74,5.56
11492,5,14,,Standard,129,1.48,18.02,1.82,17.68
11493,2,10,,Time Limited,74,4.56,11.64,0.0,16.2
11494,2,10,,Time Limited,60,0.89,7.79,0.0,8.68
11495,1,9,,Standard,80,3.21,9.09,1.79,10.51
11496,3,1,,Standard,127,5.94,11.44,0.14,17.24
11497,3,6,,Standard,54,4.53,8.23,0.0,12.76
11498,5,9,,Standard,48,4.33,4.75,0.0,9.08
11499,1,1,,Standard,72,5.08,7.68,0.0,12.76
11500,3,4,21.0,Member,86,3.23,7.08,0.0,10.31
11501,2,5,,Standard,65,4.24,5.17,0.0,9.41
11502,1,11,3.0,Member,134,3.27,16.19,0.0,19.46
11503,2,4,49.0,Member,60,1.93,7.77,0.0,9.7
11504,1,12,,Standard,92,5.2,12.52,0.0,17.72
11505,4,7,,Standard,85,3.89,5.21,1.48,7.62
11506,1,4,64.0,Member,126,6.61,9.43,2.69,13.35
11507,4,15,,Standard,72,2.53,9.38,0.0,11.91
11508,2,14,4.0,Member,172,3.69,22.27,0.0,25.96
11509,3,15,6.0,Member,52,0.77,6.67,0.0,7.44
11510,4,13,,Standard,128,0.28,13.02,0.0,13.3
11511,1,14,,Standard,119,5.35,13.36,0.0,18.71
11512,1,16,,Standard,30,0.94,4.65,0.0,5.59
11513,5,2,50.0,Member,153,2.05,18.66,0.0,20.71
11514,2,6,,Standard,103,1.24,16.32,1.02,16.54
11515,1,9,38.0,Member,86,6.3,11.2,0.0,17.5
11516,2,11,,Administrator,32,0.44,4.2,0.0,4.64
11517,5,11,,Time Limited,89,5.55,12.77,0.0,18.32
11518,4,8,,Standard,58,6.73,4.37,0.0,11.1
11519,3,14,20.0,Member,97,1.94,14.31,0.0,16.25
11520,3,9,31.0,Member,82,3.25,9.72,2.74,10.23
11521,4,3,,Standard,72,5.28,11.42,0.0,16.7
11522,3,14,,Standard,48,7.42,7.1,0.0,14.52
11523,4,10,,Free,52,3.01,5.15,1.68,6.48
11524,4,3,,Standard,79,4.79,8.51,0.0,13.3
11525,1,2,,Standard,83,1.72,8.38,1.81,8.29
11526,5,11,,Time Limited,60,0.8,4.76,0.0,5.56
11527,5,13,,Free,46,5.47,6.84,1.49,10.82
11528,4,8,5.0,Member,120,3.5,16.07,0.0,19.57
11529,5,8,,Standard,128,5.22,10.18,0.0,15.4
11530,4,1,,Standard,109,5.47,14.12,0.0,19.59
11531,4,9,57.0,Member,82,6.59,12.92,0.0,19.51
11532,1,15,,Free,21,0.64,3.27,0.0,3.91
11533,2,13,,Standard,62,7.23,9.14,0.06,16.31
11534,4,13,,Standard,93,6.28,8.02,0.0,14.3
11535,5,16,,Standard,116,2.5,7.1,1.37,8.23
11536,4,7,,Time Limited,76,3.89,7.28,1.11,10.06
11537,1,4,,Standard,130,5.69,12.04,1.22,16.51
11538,3,8,,Time Limited,88,7.71,7.58,0.0,15.29
11539,4,6,12.0,Member,60,3.09,8.9,0.0,11.99
11540,3,8,60.0,Member,173,6.38,12.6,1.76,17.22
11541,4,8,1.0,Member,110,1.17,11.37,0.49,12.05
11542,4,9,57.0,Member,117,0.4,16.96,0.0,17.36
11543,3,15,,Time Limited,46,2.75,3.53,0.0,6.28
11544,3,13,,Standard,136,2.16,17.43,2.78,16.81
11545,5,7,34.0,Member,136,0.23,12.03,0.0,12.26
11546,4,14,,Free,24,5.08,1.64,0.35,6.37
11547,4,16,,Standard,85,2.57,6.68,0.0,9.25
11548,4,16,,Time Limited,59,3.5,7.46,0.0,10.96
11549,2,9,,Standard,59,2.08,7.15,0.73,8.5
11550,1,9,,Standard,131,2.29,13.82,0.0,16.11
11551,4,4,1.0,Member,93,2.22,8.62,0.0,10.84
11552,3,5,33.0,Member,91,4.7,11.92,0.0,16.62
11553,5,14,,Standard,43,6.13,6.03,0.0,12.16
11554,1,6,8.0,Member,143,7.68,13.48,0.0,21.16
11555,2,15,5.0,Member,116,0.47,18.44,1.3,17.61
11556,2,12,20.0,Member,63,6.55,6.49,0.0,13.04
11557,2,8,,Standard,42,7.16,5.14,0.0,12.3
11558,3,1,12.0,Member,174,6.33,21.45,0.39,27.39
11559,2,9,,Standard,139,5.53,12.79,0.53,17.79
11560,2,15,8.0,Member,110,1.21,14.7,0.0,15.91
11561,5,8,58.0,Member,57,2.9,4.22,2.72,4.4
11562,4,9,,Standard,134,0.75,20.83,0.84,20.74
11563,5,16,3.0,Member,100,1.37,13.09,0.0,14.46
11564,4,10,64.0,Member,78,1.92,8.11,0.0,10.03
11565,1,15,59.0,Member,180,4.37,28.27,0.0,32.64
11566,3,1,42.0,Member,124,2.91,12.44,2.94,12.41
11567,2,12,,Free,40,5.82,3.87,1.87,7.82
11568,1,14,,Standard,127,4.4,12.53,0.0,16.93
11569,1,16,,Standard,39,4.67,2.71,0.0,7.38
11570,5,7,,Standard,67,4.58,7.14,2.13,9.59
11571,2,1,7.0,Member,162,4.78,16.86,0.0,21.64
11572,2,16,,Standard,140,1.34,19.94,0.0,21.28
11573,3,13,,Standard,76,2.73,6.39,0.0,9.12
11574,3,16,,Standard,137,7.86,11.71,0.0,19.57
11575,2,4,25.0,Member,94,6.61,6.12,1.08,11.65
11576,2,15,5.0,Member,85,6.55,9.3,0.0,15.85
11577,1,12,41.0,Member,110,7.79,14.22,0.0,22.01
11578,4,4,,Standard,47,6.98,3.72,0.0,10.7
11579,1,2,,Standard,45,4.12,4.46,0.0,8.58
11580,4,14,,Standard,98,7.54,14.78,0.86,21.46
11581,3,15,,Standard,138,7.72,20.88,0.0,28.6
11582,2,11,,Standard,118,7.23,8.55,0.0,15.78
11583,4,5,,Standard,117,0.59,16.61,0.0,17.2
11584,5,3,24.0,Member,54,1.46,7.91,0.0,9.37
11585,1,16,,Standard,136,7.61,16.7,0.0,24.31
11586,3,15,,Standard,50,1.71,6.44,0.0,8.15
11587,3,13,,Time Limited,70,4.42,9.12,0.0,13.54
11588,5,3,,Standard,38,0.84,5.06,0.0,5.9
11589,5,5,,Standard,97,2.35,11.59,2.23,11.71
11590,3,10,26.0,Member,118,2.65,12.6,1.79,13.46
11591,4,1,,Standard,70,7.04,8.06,0.0,15.1
11592,4,14,,Time Limited,69,6.05,8.92,0.0,14.97
11593,4,2,4.0,Member,146,2.95,9.24,0.0,12.19
11594,5,6,,Time Limited,59,1.95,7.42,0.0,9.37
11595,4,16,,Standard,65,3.83,5.78,0.0,9.61
11596,2,7,,Time Limited,82,5.11,12.13,0.0,17.24
11597,1,2,,Standard,137,5.07,21.4,1.38,25.09
11598,3,4,,Time Limited,58,1.36,6.46,0.0,7.82
11599,3,1,,Standard,111,6.77,10.19,0.34,16.62
11600,5,12,,Time Limited,85,4.93,10.44,2.17,13.2
11601,3,12,8.0,Member,49,5.01,7.78,1.34,11.45
11602,4,2,,Time Limited,85,6.14,7.4,0.0,13.54
11603,4,3,,Standard,48,7.0,6.63,0.0,13.63
11604,5,11,,Standard,147,2.37,12.66,0.0,15.03
11605,2,16,,Time Limited,90,5.32,13.27,0.0,18.59
11606,1,9,,Standard,99,7.89,11.79,0.0,19.68
11607,4,13,,Standard,141,6.66,11.23,2.93,14.96
11608,4,2,28.0,Member,135,6.96,9.5,0.61,15.85
11609,5,15,,Administrator,15,3.25,1.4,0.0,4.65
11610,2,4,4.0,Member,64,0.11,6.45,0.32,6.24
11611,3,2,45.0,Member,94,7.74,11.79,1.75,17.78
11612,2,13,,Time Limited,71,7.62,8.25,0.0,15.87
11613,5,12,,Standard,80,7.22,6.35,0.0,13.57
11614,1,9,,Standard,115,2.67,11.02,0.0,13.69
11615,3,9,60.0,Member,170,4.1,24.98,0.0,29.08
11616,3,2,62.0,Member,148,6.05,19.71,0.0,25.76
11617,5,2,,Standard,50,7.97,5.36,0.0,13.33
11618,1,16,,Standard,139,4.58,16.33,0.0,20.91
11619,5,11,7.0,Member,121,3.37,10.52,0.0,13.89
11620,5,14,,Standard,96,5.27,14.35,0.0,19.62
11621,2,11,,Time Limited,81,6.12,8.42,2.64,11.9
11622,1,14,,Standard,110,5.02,16.52,0.0,21.54
11623,2,2,59.0,Member,168,1.09,25.32,0.0,26.41
11624,1,11,,Administrator,27,4.17,3.68,0.0,7.85
11625,2,16,,Standard,131,1.97,13.84,0.0,15.81
11626,3,10,29.0,Member,59,6.71,5.72,0.0,12.43
11627,5,15,35.0,Member,117,2.68,15.27,0.95,17.0
11628,4,2,,Standard,117,5.05,7.46,1.88,10.63
11629,5,10,,Standard,93,4.78,6.63,0.0,11.41
11630,3,4,,Standard,31,6.9,4.22,2.73,8.39
11631,4,5,,Time Limited,56,3.4,7.02,0.0,10.42
11632,3,14,3.0,Member,80,3.78,12.2,0.0,15.98
11633,5,9,53.0,Member,71,4.49,9.65,0.0,14.14
11634,4,15,36.0,Member,49,5.84,7.26,0.0,13.1
11635,1,13,36.0,Member,95,1.58,13.2,0.0,14.78
11636,1,11,5.0,Member,78,1.42,10.59,2.37,9.64
11637,5,16,37.0,Member,121,4.16,7.71,0.0,11.87
11638,4,12,38.0,Member,62,0.23,3.89,0.0,4.12
11639,1,10,,Standard,97,0.54,7.48,0.0,8.02
11640,5,4,15.0,Member,96,5.08,11.65,0.0,16.73
11641,2,2,,Time Limited,49,4.17,4.27,0.0,8.44
11642,2,14,,Standard,50,3.3,6.44,1.43,8.31
11643,5,12,,Standard,57,6.61,9.07,0.0,15.68
11644,4,16,,Free,43,0.58,2.7,0.0,3.28
11645,4,2,6.0,Member,128,4.28,15.7,0.0,19.98
11646,1,5,,Standard,146,5.34,8.92,0.0,14.26
11647,4,14,,Standard,101,7.28,9.88,0.0,17.16
11648,2,9,,Standard,149,0.4,20.92,0.0,21.32
11649,4,12,,Free,47,4.34,3.79,0.0,8.13
11650,3,3,8.0,Member,148,6.21,10.92,1.64,15.49
11651,3,8,,Standard,147,5.75,15.98,2.97,18.76
11652,5,2,,Standard,37,6.98,5.53,0.0,12.51
11653,5,14,25.0,Member,71,1.92,5.15,0.0,7.07
11654,5,12,,Time Limited,39,6.28,5.77,0.0,12.05
11655,3,6,,Standard,102,2.44,15.51,0.0,17.95
11656,2,10,,Standard,118,3.42,9.21,0.0,12.63
11657,3,2,,Standard,62,1.6,5.47,2.8,4.27
11658,5,1,,Standard,82,0.89,10.16,0.0,11.05
11659,2,5,,Standard,106,6.5,6.68,0.0,13.18
11660,3,5,,Standard,114,4.29,10.64,0.0,14.93
11661,3,13,,Time Limited,79,1.59,10.55,0.0,12.14
11662,2,2,,Free,50,3.75,4.92,0.0,8.67
11663,1,14,20.0,Member,157,1.62,21.35,0.0,22.97
11664,1,5,34.0,Member,180,0.18,12.69,0.0,12.87
11665,3,14,4.0,Member,112,5.29,9.15,0.0,14.44
11666,4,13,,Standard,123,1.87,15.49,0.0,17.36
11667,1,10,39.0,Member,113,5.28,6.8,0.0,12.08
11668,2,1,,Standard,53,7.83,8.44,0.0,16.27
11669,3,7,33.0,Member,91,0.43,11.72,2.74,9.41
11670,5,5,7.0,Member,148,6.75,20.59,0.0,27.34
11671,2,8,,Standard,37,7.88,4.7,0.0,12.58
11672,5,13,27.0,Member,87,5.16,6.71,0.0,11.87
11673,1,10,,Standard,132,5.9,17.97,0.0,23.87
11674,3,6,,Standard,58,1.72,9.01,0.0,10.73
11675,5,3,,Standard,105,0.12,12.11,0.0,12.23
11676,4,5,,Standard,100,5.71,15.37,0.0,21.08
11677,5,11,,Standard,82,4.11,9.33,0.0,13.44
11678,1,2,60.0,Member,152,3.72,16.66,0.0,20.38
11679,2,16,6.0,Member,148,7.75,21.48,2.85,26.38
11680,2,8,,Standard,117,3.34,15.17,0.0,18.51
11681,2,9,,Standard,36,5.29,3.02,0.0,8.31
11682,3,11,,Free,57,1.98,8.41,0.0,10.39
11683,4,10,35.0,Member,159,6.81,13.07,0.0,19.88
11684,3,6,,Time Limited,63,7.11,6.86,0.0,13.97
11685,5,6,,Administrator,27,2.39,3.95,0.0,6.34
11686,3,14,,Standard,84,4.83,6.15,0.0,10.98
11687,5,11,24.0,Member,160,1.21,23.17,0.0,24.38
11688,1,9,,Standard,125,0.52,18.25,2.14,16.63
11689,5,8,,Time Limited,48,2.43,7.13,0.0,9.56
11690,1,4,,Standard,73,0.82,10.97,0.0,11.79
11691,5,12,,Standard,75,0.96,6.82,0.83,6.95
11692,4,14,,Standard,35,5.83,2.33,0.0,8.16
